,txt,matter,citations
0,se o comércio de entorpecentes houver sido relatado por agentes policiais a absolvição por insuficiência probatória não é cabível,"[3607,3608]","['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art386_inc7','lei+11343+2006!art33_caput']"
1,réu reincidente pede reconhecimento de sua confissão,"[]","[]"
2,réu deve provar que o bem lhe pertence caso o objeto seja encontrado em sua posse,"[3435, 3417, 5847]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180_caput','urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180']"
3,princípio da bagatela incompatível com furto cometido com apoio de duas ou mais pessoas,"[3417, 5555]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_inc4_par4']"
4,desclassificação de roubo circunstanciado considerando artefato sem potencial lesivo ou simulacro,"[5566]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157','urn:lex:br:federal:lei:2003-12-22;10826']"
5,incabível a concessão de indulto para casos de crime hediondo ou tráfico de drogas,"[7942]","['urn:lex:br:federal:constituicao:1988-10-05;1988!art5_inc18']"
6,absolvição possível somente mediante embriaguês involuntária e comprovada,"[10949, 3402, 5560]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art28_inc2']"
7,princípio da insignificância incabível quando a violência ou ameaça ocorre no âmbito das relações domésticas,"[10949, 3402, 5560]","['lei+11340+2006!art5','urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147_caput','urn:lex:br:federal:decreto.lei:1940-12-07;2848!art61']"
8,absolvição da ameaça é incabível ainda que o réu tenha retornado a convivência do lar,"[10949, 3402]","['lei+11340+2006!art5','urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147_caput','urn:lex:br:federal:decreto.lei:1940-12-07;2848!art61']"
9,réu desconsiderou as medidas protetivas impostas ensejando em crime de desobediência,"[3595, 10949]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art330','lei+11340+2006!art5','urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147_caput']"





